time,open,high,low,close,Volume,Volume MA,MA
302362200,103.809998,109.839996,103.139999,109.32,825050000,621360500,99.72799980000015
305213400,109.32,111.580002,105.379997,109.32,713940000,635650500,100.32400060000015
307632600,109.190002,112.160004,99.059998,101.82,857930000,660117000,101.83000040000015
310314600,101.82,107.889999,99.419998,106.160004,653650000,667920500,103.37600120000016
313079400,106.160004,110.330002,105.07,107.940002,710210000,668651000,104.88800080000014
315585000,106.5,115.85,103.26,115.12,1158240000,687775500,105.43600040000015
318263400,114.59,120.22,111.33,113.66,956530000,702287500,106.08600040000015
320941800,112.95,114.34,94.23,102.09,876450000,719035500,106.91200120000015
323447400,102.1,106.79,98.95,106.29,674140000,709495000,108.07200120000016
326035800,105.68,113.69,103.5,111.24,764920000,714126500,108.94000120000017
328800600,110.99,118.02,110.06,114.24,829660000,721492500,108.99400120000016
331306200,114.64,123.93,113.54,121.67,1021770000,746850500,109.02000040000016
333984600,121.22,127.78,119.42,122.38,965660000,770511500,109.68000000000015
336663000,123.29,132.17,121.79,125.48,1057710000,792610500,109.50400000000016
339255000,126.55,135.88,124.66,127.47,1031790000,820414500,111.10600000000015
342109800,128.7,141.96,127.23,140.52,988110000,837330000,115.16400000000014
344529000,138.2,140.66,125.32,135.76,1025650000,857580000,119.00200000000014
347207400,136.01,140.32,128.57,129.55,955520000,874169000,122.24800000000013
349972200,127.4,132.02,124.66,131.27,816310000,878199000,127.50400000000013
352391400,131.7,138.38,128.56,136,1174530000,902888500,130.32200000000014
354983400,136.39,137.72,131.58,132.87,1123470000,917809500,131.75600000000014
357571800,132.77,134.92,128.78,132.59,905430000,927384000,132.91400000000013
360250200,132.84,135.67,128.77,131.21,1100970000,939536000,134.62000000000012
362842200,130.16,131.78,125.96,130.92,953970000,954552000,133.09000000000012
365693400,130.53,135.49,122.29,122.79,920550000,965069000,132.45600000000013
368199000,122.84,124.58,110.19,116.18,959140000,955114000,132.78800000000015
370791000,116.58,123.28,115,121.89,997560000,957165500,132.71800000000013
373559400,123.89,126.97,119.13,126.35,987920000,962739000,130.07600000000014
376065000,126.08,127.32,121.04,122.55,959470000,977005500,126.73800000000014
378743400,122.64,123.72,113.63,120.4,968340000,987176500,124.59800000000014
381421800,118.24,119.81,110.71,113.11,972190000,994303000,123.62600000000013
383841000,113.16,114.8,104.46,111.96,1268690000,1006649000,121.95200000000014
386519400,113.16,120.6,111.48,116.44,1136490000,1015190500,121.47400000000013
389280600,115.96,119.92,110.75,111,1026460000,1013628000,120.86000000000013
391786200,111.97,112.19,107.17,109.61,1110530000,1017565000,118.87400000000014
394378200,109.52,113,105.57,107.09,1145190000,1025419000,116.89200000000014
397143000,107.71,120.26,102.2,119.51,1672770000,1057775000,114.58200000000015
399735000,119.52,126.43,117.84,120.42,1548040000,1087401000,112.42400000000016
402327000,120.4,140.4,120.15,133.72,2068560000,1150013500,111.22000000000017
405009000,133.72,144.36,131.4,138.53,1857040000,1184139000,112.73000000000017
407601000,138.56,143.68,134.79,140.64,1682080000,1212069500,113.52600000000018
410452200,140.65,148.36,138.08,145.3,1857600000,1259678000,118.07000000000019
412957800,145.29,152.65,141.9,148.05,1615450000,1285402000,123.85400000000018
415377000,148.07,155.02,148.07,152.96,1901920000,1332799500,130.56400000000016
418055400,153.85,164.43,150.17,164.43,1786870000,1376115500,135.72200000000015
420730200,164.41,166.99,160.29,162.39,1953130000,1425815000,141.2480000000002
423322200,162.38,171.6,160.8,168.11,1973860000,1474630000,145.09600000000017
